departamento,anhodesmovilizacion,numerodesmovilizados
CAUCA,2014,23
BOGOTA,2003,565
CAQUETA,2009,104
PUTUMAYO,2007,34
CAUCA,2004,39
CUNDINAMARCA,2006,440
ANTIOQUIA,2009,239
BOYACA,2010,14
BOGOTA,2014,81
CESAR,2005,184
HUILA,2015,9
CUNDINAMARCA,2011,44
LA GUAJIRA,2015,0
CORDOBA,2013,13
SUCRE,2014,7
META,2012,123
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2008,0
ARAUCA,2014,5
NORTE DE SANTANDER,2015,1
BOLIVAR,2013,6
QUINDIO,2014,22
GUAINIA,2009,8
TOLIMA,2003,46
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2012,0
CORDOBA,2005,1639
QUINDIO,2004,35
ANTIOQUIA,2004,864
BOLIVAR,2008,74
RISARALDA,2007,68
BOYACA,2014,4
NORTE DE SANTANDER,2009,34
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2010,0
SANTANDER,2015,16
NARIÑO,2011,15
HUILA,2013,49
AMAZONAS,2011,1
AMAZONAS,2008,3
TOLIMA,2008,119
LA GUAJIRA,2012,2
Por establecer,2008,389
ANTIOQUIA,2010,198
BOLIVAR,2006,563
PUTUMAYO,2006,119
VALLE DEL CAUCA,2014,7965
BOGOTA,2012,5203
ANTIOQUIA,2015,11
META,2008,368
TOLIMA,2010,85
GUAVIARE,2015,0
BOYACA,2005,81
BOLIVAR,2011,5
GUAINIA,2011,3
AMAZONAS,2014,1
QUINDIO,2008,27
GUAINIA,2010,5
CAUCA,2010,48
GUAVIARE,2003,2
HUILA,2009,149
ANTIOQUIA,2011,107
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2007,0
CALDAS,2005,141
LA GUAJIRA,2004,12
VAUPES,2008,1
CESAR,2015,4
Por establecer,2009,545
SANTAFE DE BOGOTA D.C,2013,98
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2006,1
VAUPES,2010,8
SANTANDER,2005,354
VICHADA,2015,0
ANTIOQUIA,2006,4259
CORDOBA,2007,6
NARINO,2004,12
LA GUAJIRA,2005,29
SANTANDER,2006,1279
QUINDIO,2003,20
META,2006,887
BOLIVAR,2003,7019
NORTE DE SANTANDER,2010,46
VICHADA,2004,4
Por establecer,2005,1092
BOYACA,2013,2
QUINDIO,2013,17
ATLANTICO,2004,67
VICHADA,2013,1
LA GUAJIRA,2006,297
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2003,0
RISARALDA,2012,9
GUAINIA,2003,1
CALDAS,2006,254
CESAR,2012,19
CHOCO,2013,9
MAGDALENA,2013,11
VAUPES,2013,2
CESAR,2007,51
BOGOTA,2009,373
RISARALDA,2003,26
Por establecer,2007,371
NORTE DE SANTANDER,2007,38
BOGOTA,2007,504
VICHADA,2003,2
MAGDALENA,2003,11
VICHADA,2007,7
ARAUCA,2015,1
GUAINIA,2006,4
CORDOBA,2011,11
ANTIOQUIA,2007,281
META,2013,113
CAUCA,2003,23
QUINDIO,2010,24
VALLE DEL CAUCA,2013,129
PUTUMAYO,2014,6
NORTE DE SANTANDER,2004,476
CHOCO,2004,32
SANTANDER,2012,35
NARINO,2015,5
SANTANDER,2014,38
META,2011,183
ATLANTICO,2003,22
CESAR,2004,105
ARAUCA,2004,15
TOLIMA,2007,128
GUAINIA,2012,1
CAQUETA,2013,45
CORDOBA,2006,1271
CAQUETA,2008,117
CHOCO,2007,7
TOLIMA,2014,43
RISARALDA,2005,402
RISARALDA,2014,21
CAQUETA,2003,24
BOGOTA,2008,383
BOYACA,2009,44
NARINO,2005,158
ARAUCA,2007,25
MAGDALENA,2014,9
GUAVIARE,2004,6
CESAR,2009,38
LA GUAJIRA,2013,10
MAGDALENA,2008,9
VALLE DEL CAUCA,2005,368
CORDOBA,2003,8
SUCRE,2008,47
NARINO,2009,40
PUTUMAYO,2012,22
CALDAS,2010,11
PUTUMAYO,2013,31
CHOCO,2011,13
CAUCA,2015,4
NORTE DE SANTANDER,2006,338
CAUCA,2005,63
AMAZONAS,2013,0
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2004,0
GUAINIA,2008,10
Por establecer,2013,20
GUAVIARE,2009,11
CORDOBA,2014,7
AMAZONAS,2009,2
ATLANTICO,2014,5
CUNDINAMARCA,2015,6
CASANARE,2003,31
VICHADA,2005,12
VAUPES,2015,0
CASANARE,2013,14
HUILA,2004,60
HUILA,2010,104
BOLIVAR,2007,60
GUAVIARE,2005,11
MAGDALENA,2011,6
META,2010,219
ARAUCA,2006,23
BOLIVAR,2009,36
Por establecer,2012,84
BOYACA,2012,4
RISARALDA,2008,88
TOLIMA,2005,247
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2005,1
VAUPES,2009,4
CORDOBA,2015,3
PUTUMAYO,2011,22
VALLE DEL CAUCA,2011,130
SUCRE,2012,4
LA GUAJIRA,2010,2
CALDAS,2013,8
CHOCO,2010,19
CAQUETA,2010,141
CAQUETA,2015,10
TOLIMA,2012,24
Por establecer,2010,342
QUINDIO,2006,89
CAUCA,2007,93
PUTUMAYO,2004,16
Por establecer,2003,1238
LA GUAJIRA,2011,2
RISARALDA,2015,6
BOGOTA,2015,22
NORTE DE SANTANDER,2003,34
CAUCA,2006,133
AMAZONAS,2015,0
GUAVIARE,2008,16
ARAUCA,2003,5
META,2003,92
RISARALDA,2009,51
CALDAS,2014,2
VAUPES,2012,5
CASANARE,2015,0
ATLANTICO,2015,0
QUINDIO,2007,24
CAQUETA,2011,71
Por establecer,2004,1124
RISARALDA,2010,44
ATLANTICO,2013,8
ATLANTICO,2012,3
CORDOBA,2008,7
SANTANDER,2013,38
CASANARE,2007,49
NORTE DE SANTANDER,2011,14
CORDOBA,2009,16
CALDAS,2012,2
CAQUETA,2014,66
CORDOBA,2012,5
CHOCO,2015,1
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2009,0
VALLE DEL CAUCA,2010,177
SANTANDER,2004,126
CASANARE,2005,348
ARAUCA,2009,17
LA GUAJIRA,2007,12
CUNDINAMARCA,2010,97
TOLIMA,2009,99
CAQUETA,2012,45
GUAVIARE,2014,5
TOLIMA,2013,33
TOLIMA,2011,40
GUAINIA,2005,2
VAUPES,2007,0
BOYACA,2007,29
ATLANTICO,2008,42
VALLE DEL CAUCA,2004,301
GUAINIA,2015,0
CHOCO,2008,22
CASANARE,2011,43
VALLE DEL CAUCA,2008,228
NARINO,2007,36
PUTUMAYO,2009,49
QUINDIO,2015,1
NARINO,2014,12
HUILA,2012,47
LA GUAJIRA,2009,9
RISARALDA,2013,23
CALDAS,2008,59
NARINO,2006,85
CAUCA,2012,14
VALLE DEL CAUCA,2009,281
ATLANTICO,2011,6
SUCRE,2003,2
AMAZONAS,2006,8
HUILA,2011,78
NORTE DE SANTANDER,2012,23
Por establecer,2015,29
VICHADA,2012,0
CAUCA,2008,178
VICHADA,2008,9
META,2005,476
SUCRE,2007,42
VICHADA,2009,7
META,2015,21
CORDOBA,2010,15
MAGDALENA,2009,8
TOLIMA,2015,2
VALLE DEL CAUCA,2007,388
CASANARE,2004,81
CALDAS,2007,31
ARAUCA,2005,51
CALDAS,2003,11
BOGOTA,2005,1008
GUAVIARE,2011,15
CAQUETA,2005,54
SANTANDER,2003,98
SUCRE,2009,24
CORDOBA,2004,378
GUAVIARE,2006,40
MAGDALENA,2010,10
SANTANDER,2011,39
AMAZONAS,2005,1
PUTUMAYO,2010,73
CASANARE,2012,19
CUNDINAMARCA,2009,100
VALLE DEL CAUCA,2015,11
CAUCA,2011,23
CESAR,2013,25
HUILA,2006,194
ARAUCA,2010,11
NARINO,2010,24
CUNDINAMARCA,2013,37
NORTE DE SANTANDER,2013,25
VAUPES,2004,1
GUAVIARE,2007,8
CHOCO,2009,27
GUAVIARE,2010,18
QUINDIO,2011,27
MAGDALENA,2005,112
SUCRE,2010,11
VICHADA,2006,14
GUAVIARE,2013,6
ANTIOQUIA,2014,100
AMAZONAS,2010,2
ANTIOQUIA,2005,4277
PUTUMAYO,2015,4
NARINO,2012,15
VALLE DEL CAUCA,2006,393
ANTIOQUIA,2012,102
NORTE DE SANTANDER,2008,28
CUNDINAMARCA,2005,244
SUCRE,2013,3
CESAR,2014,18
ARAUCA,2012,8
ATLANTICO,2005,277
GUAINIA,2007,4
QUINDIO,2009,35
ATLANTICO,2009,25
VICHADA,2011,5
RISARALDA,2011,22
PUTUMAYO,2008,55
AMAZONAS,2007,2
VALLE DEL CAUCA,2003,54
ARAUCA,2008,12
NARINO,2008,25
BOLIVAR,2014,17
ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,2011,0
SANTANDER,2009,58
BOYACA,2006,556
CASANARE,2009,66
NORTE DE SANTANDER,2005,226
