date,femenino,masculino,total,nino
01/01/2016,882,794,1676,562
02/01/2016,984,866,1850,562
03/01/2016,723,918,1641,862
04/01/2016,817,896,1713,562
05/01/2016,721,855,1576,762
06/01/2016,766,969,1735,662
07/01/2016,976,643,1619,222
08/01/2016,968,589,1557,562
09/01/2016,637,856,1493,562
10/01/2016,847,979,1826,562
11/01/2016,816,994,1810,562
12/01/2016,800,733,1533,262
01/01/2017,958,870,1828,562
02/01/2017,895,731,1626,162
03/01/2017,995,597,1592,562
04/01/2017,723,928,1651,562
05/01/2017,625,981,1606,962
06/01/2017,753,913,1666,562
07/01/2017,739,679,1418,552
08/01/2017,697,889,1586,462
09/01/2017,926,944,1870,562
10/01/2017,722,860,1582,562
11/01/2017,845,472,1317,762
12/01/2017,841,838,1679,662
