anno,date,femenino,masculino,total,nino
2012,04/01/2012,848,980,1828,621
2012,08/01/2012,961,787,1748,428
2012,12/01/2012,933,930,1863,571
2012,01/01/2012,989,823,1812,464
2012,02/01/2012,884,800,1684,441
2012,07/01/2012,946,857,1803,498
2012,06/01/2012,760,547,1307,188
2012,03/01/2012,950,932,1882,573
2012,05/01/2012,773,937,1710,578
2012,11/01/2012,898,957,1855,598
2012,10/01/2012,815,901,1716,542
2012,09/01/2012,952,669,1621,310
2013,04/01/2013,984,995,1979,636
2013,08/01/2013,755,718,1473,359
2013,12/01/2013,773,626,1399,267
2013,01/01/2013,888,853,1741,494
2013,02/01/2013,857,994,1851,635
2013,07/01/2013,990,778,1768,419
2013,06/01/2013,916,621,1537,262
2013,03/01/2013,925,848,1773,489
2013,05/01/2013,901,576,1477,217
2013,11/01/2013,770,985,1755,626
2013,10/01/2013,613,474,1087,115
2013,09/01/2013,941,642,1583,283
2014,04/01/2014,891,991,1882,632
2014,08/01/2014,819,922,1741,563
2014,12/01/2014,942,858,1800,499
2014,01/01/2014,710,838,1548,479
2014,02/01/2014,859,875,1734,516
2014,07/01/2014,924,991,1915,632
2014,06/01/2014,786,843,1629,484
2014,03/01/2014,697,485,1182,126
2014,05/01/2014,717,774,1491,415
2014,11/01/2014,997,816,1813,457
2014,10/01/2014,801,656,1457,297
2014,09/01/2014,533,702,1235,343
2015,04/01/2015,964,862,1826,503
2015,08/01/2015,631,822,1453,463
2015,12/01/2015,862,689,1551,330
2015,01/01/2015,808,995,1803,636
2015,02/01/2015,781,927,1708,568
2015,07/01/2015,723,899,1622,540
2015,06/01/2015,793,927,1720,568
2015,03/01/2015,733,863,1596,504
2015,05/01/2015,701,989,1690,630
2015,11/01/2015,739,991,1730,632
2015,10/01/2015,645,852,1497,493
2015,09/01/2015,602,903,1505,544
2016,04/01/2016,817,896,1713,537
2016,08/01/2016,968,589,1557,230
2016,12/01/2016,800,733,1533,374
2016,01/01/2016,882,794,1676,435
2016,02/01/2016,984,866,1850,507
2016,07/01/2016,976,643,1619,284
2016,06/01/2016,766,969,1735,610
2016,03/01/2016,723,918,1641,559
2016,05/01/2016,721,855,1576,496
2016,11/01/2016,816,994,1810,635
2016,10/01/2016,847,979,1826,620
2016,09/01/2016,637,856,1493,497
2017,04/01/2017,723,928,1651,569
2017,08/01/2017,697,889,1586,530
2017,12/01/2017,841,838,1679,479
2017,01/01/2017,958,870,1828,511
2017,02/01/2017,895,731,1626,372
2017,07/01/2017,739,679,1418,320
2017,06/01/2017,753,913,1666,554
2017,03/01/2017,995,597,1592,238
2017,05/01/2017,625,981,1606,622
2017,11/01/2017,845,472,1317,113
2017,10/01/2017,722,860,1582,501
2017,09/01/2017,926,944,1870,585
2018,04/01/2018,601,564,1165,205
2018,01/01/2018,532,811,1343,452
2018,02/01/2018,955,845,1800,486
2018,06/01/2018,851,879,1730,520
2018,03/01/2018,789,962,1751,603
2018,05/01/2018,649,924,1573,565
