yob,date,values
1931,2003,3.5555556
1983,2016,3
1984,2003,2.9285714
1984,2004,2.8333333
1984,2005,2.7272727
1984,2006,3.0526316
1984,2007,3.12
1984,2008,2.92
1984,2009,2.7777778
1984,2010,3.0909091
1984,2011,2.8823529
1984,2012,2.9
1984,2013,2.6470588
1984,2014,2.8
1984,2016,2.9333333
1985,2003,3.25
1985,2004,3
1985,2005,2.9333333
1985,2006,2.9090909
1985,2007,2.8333333
1985,2008,2.7894737
1985,2009,3
1985,2010,2.9090909
1985,2011,3.05
1985,2012,2.5
1985,2013,2.8571429
1985,2014,3.125
1985,2016,3
1986,2004,2.875
1986,2005,3.0714286
1986,2006,3.2631579
1986,2007,2.8181818
1986,2008,2.9
1986,2009,2.9655172
1986,2010,3.3181818
1986,2011,2.6842105
1986,2012,3
1986,2013,2.8333333
1986,2014,2.625
1986,2016,2.8888889
1987,2005,2.6666667
1987,2006,2.6923077
1987,2007,2.5333333
1987,2008,2.8666667
1987,2009,3.25
1987,2010,2.44
1987,2011,2.9090909
1987,2012,3.2222222
1987,2013,3
1987,2014,2.7368421
1987,2016,3
1988,2006,2.6190476
1988,2007,2.9130435
1988,2008,3.0416667
1988,2009,2.8125
1988,2010,2.7692308
1988,2011,3.3846154
1988,2012,2.7391304
1988,2013,2.7727273
1988,2014,2.875
1988,2016,2.75
1989,2007,2.9090909
1989,2008,3.12
1989,2009,2.5833333
1989,2010,3
1989,2011,2.7272727
1989,2012,2.8181818
1989,2013,3.0322581
1989,2014,3.1904762
1989,2016,2.7058824
1990,2008,2.8
1990,2009,2.6956522
1990,2010,2.8148148
1990,2011,2.9411765
1990,2012,3
1990,2013,2.9642857
1990,2014,2.8333333
1990,2016,2.6190476
1991,2009,2.6578947
1991,2010,2.8695652
1991,2011,2.8888889
1991,2012,2.7647059
1991,2013,3.1176471
1991,2014,3.173913
1991,2016,2.7
1992,2010,2.6842105
1992,2011,2.9230769
1992,2012,2.7619048
1992,2013,2.5925926
1992,2014,2.6923077
1992,2016,3.0526316
1993,2011,2.6818182
1993,2012,2.6363636
1993,2013,2.6666667
1993,2014,2.65
1993,2016,2.9230769
